| Caso | Precondicion | Estado |
|---|---|---|
| 1 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia | OK |
| 1 | tipo Particular | OK |
| 1 | que tenga documentos pendientes de firmar por otros como por ejemplo Depósitos | KO |
| 1 | Dadas de alta varias cuentas a la vista | OK |
| 1 | este usuario debe tener un contrato de avisos y alertas dado de alta | OK |
| 1 | disponer de un usuario con tipo de firma VTPC1 o VTPC2 | OK |
| 3 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 3 | tipo Particular | OK |
| 3 | que disponga de firma VTPC2 | OK |
| 3 | Haya entrado alguna vez a la web | OK |
| 5 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 5 | tipo Particular | OK |
| 5 | que disponga de un usuario consultivo dado de alta | KO |
| 7 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 7 | tipo Particular | OK |
| 7 | que disponga de al menos una cuenta | OK |
| 7 | Con saldo | OK |
| 7 | y tipo de firma VTPC1 | OK |
| 9 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 9 | tipo Particular | OK |
| 9 | que disponga de al menos una cuenta | OK |
| 9 | Con saldo | OK |
| 9 | y tipo de firma VTPC2 | OK |
| 11 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 11 | tipo Particular | OK |
| 11 | que contenga una Tarjeta Secundaria | OK |
| 13 | Disponer de un usuario que contenga un contrato de Banca a distancia | OK |
| 13 | tipo Particular | OK |
| 13 | con firma VTPC1 | OK |
| 15 | Disponer de un usuario que contenga un contrato de Banca a distancia | OK |
| 15 | tipo Particular | OK |
| 15 | con firma VTPC1 | OK |
| 17 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 17 | tipo Particular | OK |
| 17 | con firma VTPC2 | OK |
| 17 | que disponga de un usuario consultivo dado de alta | KO |
| 19 | Disponer de un usuario que tenga un contrato de Banca a distancia | OK |
| 19 | tipo Particular | OK |
| 19 | que posea un contrato de Avisos y Alertas | OK |
| 19 | Varias cuentas a la vista | OK |
| 19 | este debe tener configurado un tipo de firma vTPC1 o vTPC2 | OK |
| 19 | tiene que estar enrolado con un dispositivo | KO |
| 19 | y tener una cuenta asociada a este dispositivo | KO |
| 19 | El usuario debe tener diversas Acciones Pendientes | KO |
